"Accepted Symbol","Synonym Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents"
"SIURU","SIWAA2","Silene wahlbergella ssp. arctica","","Silene","","wahlbergella","ssp.","","arctica","","","","","","","","Chowdhuri","(Fr.) Hultén","","",""
"SIVU","","Silene vulgaris","","Silene","","vulgaris","","","","","","","","","","","(Moench) Garcke","","","",""
"SIVU","OBCO","Oberna commutata","","Oberna","","commutata","","","","","","","","","","","(Guss.) Ikonn.","","","",""
"SIVU","SICU6","Silene cucubalus","","Silene","","cucubalus","","","","","","","","","","","Wibel","","","",""
"SIVU","SIIN13","Silene inflata","","Silene","","inflata","","","","","","","","","","","Sm.","","","",""
"SIVU","SILA16","Silene latifolia","","Silene","","latifolia","","","","","","","","","","","(Mill.) Britten & Rendle, non Poir.","","","",""
"SINAP","","Sinapis","","Sinapis","","","","","","","","","","","","","","","","",""
"SIAR4","","Sinapis arvensis","","Sinapis","","arvensis","","","","","","","","","","","L.","","","",""
"SIARA","","Sinapis arvensis ssp. arvensis","","Sinapis","","arvensis","ssp.","","arvensis","","","","","","","","L.","L.","","",""
"SIARA","BRAR11","Brassica arvensis","","Brassica","","arvensis","","","","","","","","","","","(L.) Rabenh., non L., nom. illeg.","","","",""
"SIARA","BRKA","Brassica kaber","","Brassica","","kaber","","","","","","","","","","","(DC.) L.C. Wheeler","","","",""
"SIARA","BRKAP2","Brassica kaber var. pinnatifida","","Brassica","","kaber","","","","var.","","pinnatifida","","","","","(DC.) L.C. Wheeler","(Stokes) L.C. Wheeler","","",""
"SIARA","BRKAS","Brassica kaber var. schkuhriana","","Brassica","","kaber","","","","var.","","schkuhriana","","","","","(DC.) L.C. Wheeler","(Rchb.) L.C. Wheeler","","",""
"SIARA","SIARO","Sinapis arvensis var. orientalis","","Sinapis","","arvensis","","","","var.","","orientalis","","","","","L.","(L.) W.D.J. Koch & Ziz","","",""
"SIARA","SIARS","Sinapis arvensis var. schkuhriana","","Sinapis","","arvensis","","","","var.","","schkuhriana","","","","","L.","(Rchb.) Hagenb.","","",""
"SISYM","","Sisymbrium","","Sisymbrium","","","","","","","","","","","","","","","","",""
"SIAL2","","Sisymbrium altissimum","","Sisymbrium","","altissimum","","","","","","","","","","","L.","","","",""
"SIAL2","NOAL3","Norta altissima","","Norta","","altissima","","","","","","","","","","","(L.) Britton","","","",""
"SIOF","","Sisymbrium officinale","","Sisymbrium","","officinale","","","","","","","","","","","(L.) Scop.","","","",""
"SIOF","EROF","Erysimum officinale","","Erysimum","","officinale","","","","","","","","","","","L.","","","",""
"SIOF","SIOFL","Sisymbrium officinale var. leiocarpum","","Sisymbrium","","officinale","","","","var.","","leiocarpum","","","","","(L.) Scop.","DC.","","",""
"SIOR4","","Sisymbrium orientale","","Sisymbrium","","orientale","","","","","","","","","","","L.","","","",""
"SIOR4","BRKAO","Brassica kaber var. orientalis","","Brassica","","kaber","","","","var.","","orientalis","","","","","(DC.) L.C. Wheeler","(L.) Scoggan","","",""
"SISYR","","Sisyrinchium","","Sisyrinchium","","","","","","","","","","","","","","","","",""
"SILI4","","Sisyrinchium littorale","","Sisyrinchium","","littorale","","","","","","","","","","","Greene","","","",""
"SIMO2","","Sisyrinchium montanum","","Sisyrinchium","","montanum","","","","","","","","","","","Greene","","","",""
"SIUM","","Sium","","Sium","","","","","","","","","","","","","","","","",""
"SISU2","","Sium suave","","Sium","","suave","","","","","","","","","","","Walter","","","",""
"SISU2","SICI2","Sium cicutifolium","","Sium","","cicutifolium","","","","","","","","","","","Schrank","","","",""
"SISU2","SIFL","Sium floridanum","","Sium","","floridanum","","","","","","","","","","","Small","","","",""
"SISU2","SISUF","Sium suave var. floridanum","","Sium","","suave","","","","var.","","floridanum","","","","","Walter","(Small) C.F. Reed","","",""
"SMELO","","Smelowskia","","Smelowskia","","","","","","","","","","","","","","","","",""
"SMBO","","Smelowskia borealis","","Smelowskia","","borealis","","","","","","","","","","","(Greene) Drury & Rollins","","","",""
"SMBOB","","Smelowskia borealis var. borealis","","Smelowskia","","borealis","","","","var.","","borealis","","","","","(Greene) Drury & Rollins","(Greene) Drury & Rollins","","",""
"SMBOB","ERBO5","Ermania borealis","","Ermania","","borealis","","","","","","","","","","","(Greene) Hultén","","","",""
"SMBOB","MEBO","Melanidion boreale","","Melanidion","","boreale","","","","","","","","","","","Greene","","","",""
"SMBOJ","","Smelowskia borealis var. jordalii","","Smelowskia","","borealis","","","","var.","","jordalii","","","","","(Greene) Drury & Rollins","Drury & Rollins","","",""
"SMBOJ","SMBOJ2","Smelowskia borealis ssp. jordalii","","Smelowskia","","borealis","ssp.","","jordalii","","","","","","","","(Greene) Drury & Rollins","(Drury & Rollins) Cody","","",""
"SMBOK","","Smelowskia borealis var. koliana","","Smelowskia","","borealis","","","","var.","","koliana","","","","","(Greene) Drury & Rollins","(Gombócz) Drury & Rollins","","",""
"SMBOK","ACKO3","Achroschizocarpus kolianus","","Achroschizocarpus","","kolianus","","","","","","","","","","","Gombócz","","","",""
"SMBOV","","Smelowskia borealis var. villosa","","Smelowskia","","borealis","","","","var.","","villosa","","","","","(Greene) Drury & Rollins","Drury & Rollins","","",""
"SMCA","","Smelowskia calycina","","Smelowskia","","calycina","","","","","","","","","","","(Stephan ex Willd.) C.A. Mey.","","","",""
"SMCAI","","Smelowskia calycina var. integrifolia","","Smelowskia","","calycina","","","","var.","","integrifolia","","","","","(Stephan ex Willd.) C.A. Mey.","(Seem.) Rollins","","",""
"SMCAI","HUCAI","Hutchinsia calycina var. integrifolia","","Hutchinsia","","calycina","","","","var.","","integrifolia","","","","","Stephan ex Willd.","Seem.","","",""
"SMCAI","SMCAI2","Smelowskia calycina ssp. integrifolia","","Smelowskia","","calycina","ssp.","","integrifolia","","","","","","","","(Stephan ex Willd.) C.A. Mey.","(Seem.) Hultén","","",""
"SMCAP","","Smelowskia calycina var. porsildii","","Smelowskia","","calycina","","","","var.","","porsildii","","","","","(Stephan ex Willd.) C.A. Mey.","Drury & Rollins","","",""
"SMCAP","SMPO","Smelowskia porsildii","","Smelowskia","","porsildii","","","","","","","","","","","(Drury & Rollins) Yurtsev","","","",""
"SMJO","","Smelowskia johnsonii","","Smelowskia","","johnsonii","","","","","","","","","","","G. Mulligan","","","",""
"SMME4","","Smelowskia media","","Smelowskia","","media","","","","","","","","","","","(Drury & Rollins) G. Mulligan","","","",""
"SMME4","SMCAM","Smelowskia calycina var. media","","Smelowskia","","calycina","","","","var.","","media","","","","","(Stephan ex Willd.) C.A. Mey.","Drury & Rollins","","",""
"SMPY","","Smelowskia pyriformis","","Smelowskia","","pyriformis","","","","","","","","","","","Drury & Rollins","","","",""
"SOLAN","","Solanum","","Solanum","","","","","","","","","","","","","","","","",""
"SOLY2","","Solanum lycopersicum","","Solanum","","lycopersicum","","","","","","","","","","","L.","","","",""
"SOLYL","","Solanum lycopersicum var. lycopersicum","","Solanum","","lycopersicum","","","","var.","","lycopersicum","","","","","L.","L.","","",""
"SOLYL","LYES","Lycopersicon esculentum","","Lycopersicon","","esculentum","","","","","","","","","","","Mill.","","","",""
"SOLYL","LYLY2","Lycopersicon lycopersicum","","Lycopersicon","","lycopersicum","","","","","","","","","","","(L.) Karst. ex Farw.","","","",""
"SOLYL","LYPY","Lycopersicon pyriforme","","Lycopersicon","","pyriforme","","","","","","","","","","","Dunal","","","",""
