"Accepted Symbol","Synonym Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents"
"ARANA","ARANA2","Arnica angustifolia ssp. attenuata","","Arnica","","angustifolia","ssp.","","attenuata","","","","","","","","Vahl","(Greene) G.W. Douglas","","",""
"ARANA","ARPL6","Arnica plantaginea","","Arnica","","plantaginea","","","","","","","","","","","Pursh","","","",""
"ARANA","ARSO3","Arnica sornborgeri","","Arnica","","sornborgeri","","","","","","","","","","","Fernald","","","",""
"ARANA","ARTE6","Arnica terrae-novae","","Arnica","","terrae-novae","","","","","","","","","","","Fernald","","","",""
"ARANT","","Arnica angustifolia ssp. tomentosa","","Arnica","","angustifolia","ssp.","","tomentosa","","","","","","","","Vahl","(Macoun) G.W. Douglas & G. Ruyle-Douglas","","",""
"ARANT","ARALT3","Arnica alpina ssp. tomentosa","","Arnica","","alpina","ssp.","","tomentosa","","","","","","","","(L.) Olin","(Macoun) Maguire","","",""
"ARANT","ARALT2","Arnica alpina var. tomentosa","","Arnica","","alpina","","","","var.","","tomentosa","","","","","(L.) Olin","(Macoun) Cronquist","","",""
"ARANT","ARANT2","Arnica angustifolia var. tomentosa","","Arnica","","angustifolia","","","","var.","","tomentosa","","","","","Vahl","(Macoun) Dorn","","",""
"ARANT","ARTO5","Arnica tomentosa","","Arnica","","tomentosa","","","","","","","","","","","Macoun","","","",""
"ARCH3","","Arnica chamissonis","","Arnica","","chamissonis","","","","","","","","","","","Less.","","","",""
"ARCHC","","Arnica chamissonis ssp. chamissonis","","Arnica","","chamissonis","ssp.","","chamissonis","","","","","","","","Less.","Less.","","",""
"ARCHC2","","Arnica chamissonis ssp. chamissonis var. chamissonis","","Arnica","","chamissonis","ssp.","","chamissonis","var.","","chamissonis","","","","","Less.","Less.","Less.","",""
"ARCHC2","ARCHG","Arnica chamissonis ssp. genuina","","Arnica","","chamissonis","ssp.","","genuina","","","","","","","","Less.","Maguire","","",""
"ARCO9","","Arnica cordifolia","","Arnica","","cordifolia","","","","","","","","","","","Hook.","","","",""
"ARCO9","ARCOG2","Arnica cordifolia ssp. genuina","","Arnica","","cordifolia","ssp.","","genuina","","","","","","","","Hook.","Maguire","","",""
"ARCO9","ARCOH","Arnica cordifolia var. humilis","","Arnica","","cordifolia","","","","var.","","humilis","","","","","Hook.","(Rydb.) Maguire","","",""
"ARCO9","ARCOP2","Arnica cordifolia var. pumila","","Arnica","","cordifolia","","","","var.","","pumila","","","","","Hook.","(Rydb.) Maguire","","",""
"ARCO9","ARCOW2","Arnica cordifolia var. whitneyi","","Arnica","","cordifolia","","","","var.","","whitneyi","","","","","Hook.","(Fernald) Maguire","","",""
"ARCO9","ARHA5","Arnica hardinae","","Arnica","","hardinae","","","","","","","","","","","H. St. John","","","",""
"ARCO9","ARHU7","Arnica humilis","","Arnica","","humilis","","","","","","","","","","","Rydb.","","","",""
"ARCO9","ARPA12","Arnica paniculata","","Arnica","","paniculata","","","","","","","","","","","A. Nelson","","","",""
"ARCO9","ARWH","Arnica whitneyi","","Arnica","","whitneyi","","","","","","","","","","","Fernald","","","",""
"ARDI7","","Arnica ×diversifolia","","Arnica","×","diversifolia","","","","","","","","","","","Greene (pro sp.)","","","","[amplexicaulis or mollis × cordifolia or latifolia]"
"ARFR2","","Arnica frigida","","Arnica","","frigida","","","","","","","","","","","C.A. Mey. ex Iljin","","","",""
"ARFRF3","","Arnica frigida ssp. frigida","","Arnica","","frigida","ssp.","","frigida","","","","","","","","C.A. Mey. ex Iljin","C.A. Mey. ex Iljin","","",""
"ARFRF3","ARFRG2","Arnica frigida var. glandulosa","","Arnica","","frigida","","","","var.","","glandulosa","","","","","C.A. Mey. ex Iljin","B. Boivin","","",""
"ARFRF3","ARGRF","Arnica griscomii ssp. frigida","","Arnica","","griscomii","ssp.","","frigida","","","","","","","","Fernald","(C.A. Mey. ex Iljin) S.J. Wolf","","",""
"ARFRF3","ARLOF","Arnica louiseana ssp. frigida","","Arnica","","louiseana","ssp.","","frigida","","","","","","","","Farr","(C.A. Mey. ex Iljin) Maguire","","",""
"ARFRF3","ARLOB","Arnica louiseana var. brevifolia","","Arnica","","louiseana","","","","var.","","brevifolia","","","","","Farr","(Rydb.) Maguire","","",""
"ARFRF3","ARLOF2","Arnica louiseana var. frigida","","Arnica","","louiseana","","","","var.","","frigida","","","","","Farr","(C.A. Mey. ex Iljin) S.L. Welsh","","",""
"ARFRF3","ARLOI","Arnica louiseana var. illiamnae","","Arnica","","louiseana","","","","var.","","illiamnae","","","","","Farr","(Rydb.) Maguire","","",""
"ARFRF3","ARLOM","Arnica louiseana var. mendenhallii","","Arnica","","louiseana","","","","var.","","mendenhallii","","","","","Farr","(Rydb.) Maguire","","",""
"ARFRF3","ARLOP","Arnica louiseana var. pilosa","","Arnica","","louiseana","","","","var.","","pilosa","","","","","Farr","Maguire","","",""
"ARFRF3","ARSN","Arnica snyderi","","Arnica","","snyderi","","","","","","","","","","","Raup","","","",""
"ARFRG3","","Arnica frigida ssp. griscomii","","Arnica","","frigida","ssp.","","griscomii","","","","","","","","C.A. Mey. ex Iljin","(Fernald) S.R. Downie","","",""
"ARFRG3","ARGR21","Arnica griscomii","","Arnica","","griscomii","","","","","","","","","","","Fernald","","","",""
"ARFRG3","ARGRG2","Arnica griscomii ssp. griscomii","","Arnica","","griscomii","ssp.","","griscomii","","","","","","","","Fernald","Fernald","","",""
"ARFRG3","ARLOG7","Arnica louiseana ssp. griscomii","","Arnica","","louiseana","ssp.","","griscomii","","","","","","","","Farr","(Fernald) Maguire","","",""
"ARLA8","","Arnica latifolia","","Arnica","","latifolia","","","","","","","","","","","Bong.","","","",""
"ARLA8","ARLAA3","Arnica latifolia var. angustifolia","","Arnica","","latifolia","","","","var.","","angustifolia","","","","","Bong.","Herder","","",""
"ARLE2","","Arnica lessingii","","Arnica","","lessingii","","","","","","","","","","","Greene","","","",""
"ARLE2","ARLEN","Arnica lessingii ssp. norbergii","","Arnica","","lessingii","ssp.","","norbergii","","","","","","","","Greene","Hultén & Maguire","","",""
"ARLO5","","Arnica lonchophylla","","Arnica","","lonchophylla","","","","","","","","","","","Greene","","","",""
"ARLOL","","Arnica lonchophylla ssp. lonchophylla","","Arnica","","lonchophylla","ssp.","","lonchophylla","","","","","","","","Greene","Greene","","",""
"ARLOL","ARALL3","Arnica alpina ssp. lonchophylla","","Arnica","","alpina","ssp.","","lonchophylla","","","","","","","","(L.) Olin","(Greene) Roy L. Taylor & MacBryde","","",""
"ARLOL","ARALL2","Arnica alpina var. lonchophylla","","Arnica","","alpina","","","","var.","","lonchophylla","","","","","(L.) Olin","(Greene) S.L. Welsh","","",""
"ARLOL","ARANL","Arnica angustifolia ssp. lonchophylla","","Arnica","","angustifolia","ssp.","","lonchophylla","","","","","","","","Vahl","(Greene) G.W. Douglas & G. Ruyle-Douglas","","",""
"ARLOL","ARCH7","Arnica chionopappa","","Arnica","","chionopappa","","","","","","","","","","","Fernald","","","",""
"ARLOL","ARGA","Arnica gaspensis","","Arnica","","gaspensis","","","","","","","","","","","Fernald","","","",""
"ARLOL","ARLOC","Arnica lonchophylla ssp. chionopappa","","Arnica","","lonchophylla","ssp.","","chionopappa","","","","","","","","Greene","(Fernald) Maguire","","",""
"ARMO4","","Arnica mollis","","Arnica","","mollis","","","","","","","","","","","Hook.","","","",""
"ARMO4","ARMOS","Arnica mollis var. silvatica","","Arnica","","mollis","","","","var.","","silvatica","","","","","Hook.","(Greene) Maguire","","",""
"AROV3","","Arnica ovata","","Arnica","","ovata","","","","","","","","","","","Greene","","","",""
"ARUN","","Arnica unalaschcensis","","Arnica","","unalaschcensis","","","","","","","","","","","Less.","","","",""
"ARRHE","","Arrhenatherum","","Arrhenatherum","","","","","","","","","","","","","","","","",""
"AREL3","","Arrhenatherum elatius","","Arrhenatherum","","elatius","","","","","","","","","","","(L.) P. Beauv. ex J. Presl & C. Presl","","","",""
"ARELE","","Arrhenatherum elatius var. elatius","","Arrhenatherum","","elatius","","","","var.","","elatius","","","","","(L.) P. Beauv. ex J. Presl & C. Presl","(L.) P. Beauv. ex J. Presl & C. Presl","","",""
"ARELE","ARELB2","Arrhenatherum elatius var. biaristatum","","Arrhenatherum","","elatius","","","","var.","","biaristatum","","","","","(L.) P. Beauv. ex J. Presl & C. Presl","(Peterm.) Peterm.","","",""
"ARELE","AVEL","Avena elatior","","Avena","","elatior","","","","","","","","","","","L.","","","",""
"ARTEM","","Artemisia","","Artemisia","","","","","","","","","","","","","","","","",""
"ARAL5","","Artemisia alaskana","","Artemisia","","alaskana","","","","","","","","","","","Rydb.","","","",""
"ARAL5","ARTY","Artemisia tyrellii","","Artemisia","","tyrellii","","","","","","","","","","","Rydb.","","","",""
"ARAL6","","Artemisia aleutica","","Artemisia","","aleutica","","","","","","","","","","","Hultén","","","",""
"ARAR9","","Artemisia arctica","","Artemisia","","arctica","","","","","","","","","","","Less.","","","",""
"ARARA2","","Artemisia arctica ssp. arctica","","Artemisia","","arctica","ssp.","","arctica","","","","","","","","Less.","Less.","","",""
"ARARA2","ARARS","Artemisia arctica ssp. saxicola","","Artemisia","","arctica","ssp.","","saxicola","","","","","","","","Less.","(Rydb.) Hultén","","",""
"ARARA2","ARNOS4","Artemisia norvegica ssp. saxatilis","","Artemisia","","norvegica","ssp.","","saxatilis","","","","","","","","Fr.","(Besser) H.M. Hall & Clem.","","",""
"ARARA2","ARNOP","Artemisia norvegica var. piceetorum","","Artemisia","","norvegica","","","","var.","","piceetorum","","","","","Fr.","S.L. Welsh & Goodrich","","",""
"ARARA2","ARNOS3","Artemisia norvegica var. saxatilis","","Artemisia","","norvegica","","","","var.","","saxatilis","","","","","Fr.","(Besser) Jeps.","","",""
"ARARB","","Artemisia arctica ssp. beringensis","","Artemisia","","arctica","ssp.","","beringensis","","","","","","","","Less.","(Hultén) Hultén","","",""
"ARARB","ARARB2","Artemisia arctica var. beringensis","","Artemisia","","arctica","","","","var.","","beringensis","","","","","Less.","Hultén","","",""
"ARARC","","Artemisia arctica ssp. comata","","Artemisia","","arctica","ssp.","","comata","","","","","","","","Less.","(Rydb.) Hultén","","",""
"ARARC","ARCO22","Artemisia comata","","Artemisia","","comata","","","","","","","","","","","Rydb.","","","",""
"ARARC","ARNOC","Artemisia norvegica var. comata","","Artemisia","","norvegica","","","","var.","","comata","","","","","Fr.","(Rydb.) S.L. Welsh","","",""
"ARBI2","","Artemisia biennis","","Artemisia","","biennis","","","","","","","","","","","Willd.","","","",""
"ARBIB","","Artemisia biennis var. biennis","","Artemisia","","biennis","","","","var.","","biennis","","","","","Willd.","Willd.","","",""
"ARCA12","","Artemisia campestris","","Artemisia","","campestris","","","","","","","","","","","L.","","","",""
"ARCAB2","","Artemisia campestris ssp. borealis","","Artemisia","","campestris","ssp.","","borealis","","","","","","","","L.","(Pall.) H.M. Hall & Clem.","","",""
"ARCAB4","","Artemisia campestris ssp. borealis var. borealis","","Artemisia","","campestris","ssp.","","borealis","var.","","borealis","","","","","L.","(Pall.) H.M. Hall & Clem.","(Pall.) M. Peck","",""
"ARCAB4","ARBO4","Artemisia borealis","","Artemisia","","borealis","","","","","","","","","","","Pall.","","","",""
"ARCAB4","ARBOP","Artemisia borealis ssp. purshii","","Artemisia","","borealis","ssp.","","purshii","","","","","","","","Pall.","(Hook.) Hultén","","",""
"ARCAB4","ARBOL","Artemisia borealis var. latisecta","","Artemisia","","borealis","","","","var.","","latisecta","","","","","Pall.","Fernald","","",""
"ARCAB4","ARBOP2","Artemisia borealis var. purshii","","Artemisia","","borealis","","","","var.","","purshii","","","","","Pall.","Hook.","","",""
"ARCAB4","ARCAC9","Artemisia campestris ssp. canadensis","","Artemisia","","campestris","ssp.","","canadensis","","","","","","","","L.","(Michx.) Scoggan","","",""
"ARCAB4","ARCAC10","Artemisia campestris var. canadensis","","Artemisia","","campestris","","","","var.","","canadensis","","","","","L.","(Michx.) S.L. Welsh","","",""
"ARCAB4","ARCAP5","Artemisia campestris var. purshii","","Artemisia","","campestris","","","","var.","","purshii","","","","","L.","(Hook.) Cronquist","","",""
"ARCAB4","ARCA23","Artemisia canadensis","","Artemisia","","canadensis","","","","","","","","","","","Michx.","","","",""
"ARCAB4","ARRI6","Artemisia richardsoniana","","Artemisia","","richardsoniana","","","","","","","","","","","Besser","","","",""
"ARCAB4","ARSP7","Artemisia spithamea","","Artemisia","","spithamea","","","","","","","","","","","Pursh","","","",""
"ARCAB4","OLGR2","Oligosporus groenlandicus","","Oligosporus","","groenlandicus","","","","","","","","","","","(Hornem.) Á. Löve & D. Löve","","","",""
"ARCAS5","","Artemisia campestris ssp. borealis var. scouleriana","","Artemisia","","campestris","ssp.","","borealis","var.","","scouleriana","","","","","L.","(Pall.) H.M. Hall & Clem.","(Hook.) Cronquist","",""
"ARCAS5","ARCAP2","Artemisia campestris ssp. pacifica","","Artemisia","","campestris","ssp.","","pacifica","","","","","","","","L.","(Nutt.) H.M. Hall & Clem.","","",""
"ARCAS5","ARCAP3","Artemisia campestris var. pacifica","","Artemisia","","campestris","","","","var.","","pacifica","","","","","L.","(Nutt.) M. Peck","","",""
"ARCAS5","ARCAS4","Artemisia campestris var. strutziae","","Artemisia","","campestris","","","","var.","","strutziae","","","","","L.","S.L. Welsh","","",""
"ARCAS5","ARCA30","Artemisia camporum","","Artemisia","","camporum","","","","","","","","","","","Rydb.","","","",""
"ARCAS5","ARPA28","Artemisia pacifica","","Artemisia","","pacifica","","","","","","","","","","","Nutt.","","","",""
"ARCAS5","ARRI7","Artemisia ripicola","","Artemisia","","ripicola","","","","","","","","","","","Rydb.","","","",""
"ARCAS5","OLCAP","Oligosporus campestris ssp. pacificus","","Oligosporus","","campestris","ssp.","","pacificus","","","","","","","","(L.) Cass.","(Nutt.) W.A. Weber","","",""
"ARCAS5","OLPA3","Oligosporus pacificus","","Oligosporus","","pacificus","","","","","","","","","","","(Nutt.) Poljakov","","","",""
"ARCA13","","Artemisia cana","","Artemisia","","cana","","","","","","","","","","","Pursh","","","",""
"ARCAC5","","Artemisia cana ssp. cana","","Artemisia","","cana","ssp.","","cana","","","","","","","","Pursh","Pursh","","",""
"ARCAC5","ARCAC12","Artemisia cana var. cana","","Artemisia","","cana","","","","var.","","cana","","","","","Pursh","Pursh","","",""
"ARCAC5","SECA9","Seriphidium canum","","Seriphidium","","canum","","","","","","","","","","","(Pursh) W.A. Weber","","","",""
"ARDR4","","Artemisia dracunculus","","Artemisia","","dracunculus","","","","","","","","","","","L.","","","",""
"ARDR4","ARDR5","Artemisia dracunculoides","","Artemisia","","dracunculoides","","","","","","","","","","","Pursh","","","",""
"ARDR4","ARDRD","Artemisia dracunculoides var. dracunculina","","Artemisia","","dracunculoides","","","","var.","","dracunculina","","","","","Pursh","(S. Watson) S.F. Blake","","",""
"ARDR4","ARDRG","Artemisia dracunculus ssp. glauca","","Artemisia","","dracunculus","ssp.","","glauca","","","","","","","","L.","(Pall. ex Willd.) H.M. Hall & Clem.","","",""
"ARDR4","ARDRG2","Artemisia dracunculus var. glauca","","Artemisia","","dracunculus","","","","var.","","glauca","","","","","L.","(Pall. ex Willd.) Besser","","",""
"ARDR4","ARGL12","Artemisia glauca","","Artemisia","","glauca","","","","","","","","","","","Pall. ex Willd.","","","",""
"ARDR4","ARGLD2","Artemisia glauca var. dracunculina","","Artemisia","","glauca","","","","var.","","dracunculina","","","","","Pall. ex Willd.","(S. Watson) Fernald","","",""
"ARDR4","OLDR","Oligosporus dracunculus","","Oligosporus","","dracunculus","","","","","","","","","","","(L.) Poljakov","","","",""
"ARDR4","OLDRD","Oligosporus dracunculus ssp. dracunculinus","","Oligosporus","","dracunculus","ssp.","","dracunculinus","","","","","","","","(L.) Poljakov","(S. Watson) W.A. Weber","","",""
"ARDR4","OLDRG","Oligosporus dracunculus ssp. glaucus","","Oligosporus","","dracunculus","ssp.","","glaucus","","","","","","","","(L.) Poljakov","(Pall. ex Willd.) Á. Löve & D. Löve","","",""
"ARFR4","","Artemisia frigida","","Artemisia","","frigida","","","","","","","","","","","Willd.","","","",""
"ARFU4","","Artemisia furcata","","Artemisia","","furcata","","","","","","","","","","","M. Bieb.","","","",""
"ARFUF","","Artemisia furcata var. furcata","","Artemisia","","furcata","","","","var.","","furcata","","","","","M. Bieb.","M. Bieb.","","",""
"ARFUF","ARHY2","Artemisia hyperborea","","Artemisia","","hyperborea","","","","","","","","","","","Rydb.","","","",""
"ARFUF","ARTA4","Artemisia tacomensis","","Artemisia","","tacomensis","","","","","","","","","","","Rydb.","","","",""
"ARFUF","ARTR3","Artemisia trifurcata","","Artemisia","","trifurcata","","","","","","","","","","","Stephan ex Spreng.","","","",""
"ARFUH","","Artemisia furcata var. heterophylla","","Artemisia","","furcata","","","","var.","","heterophylla","","","","","M. Bieb.","(Besser) Hultén","","",""
"ARFUH","ARHE5","Artemisia heterophylla","","Artemisia","","heterophylla","","","","","","","","","","","Besser","","","",""
"ARGL8","","Artemisia globularia","","Artemisia","","globularia","","","","","","","","","","","Cham. ex Besser","","","",""
"ARGL8","ARFL4","Artemisia flava","","Artemisia","","flava","","","","","","","","","","","Jurtzev","","","",""
"ARGL8","ARGLL","Artemisia globularia var. lutea","","Artemisia","","globularia","","","","var.","","lutea","","","","","Cham. ex Besser","Hultén","","",""
"ARGL9","","Artemisia glomerata","","Artemisia","","glomerata","","","","","","","","","","","Ledeb.","","","",""
"ARGLG","","Artemisia glomerata var. glomerata","","Artemisia","","glomerata","","","","var.","","glomerata","","","","","Ledeb.","Ledeb.","","",""
"ARGLS","","Artemisia glomerata var. subglabrata","","Artemisia","","glomerata","","","","var.","","subglabrata","","","","","Ledeb.","Hultén","","",""
"ARLA9","","Artemisia laciniata","","Artemisia","","laciniata","","","","","","","","","","","Willd.","","","",""
"ARLA9","ARLA17","Artemisia laciniatiformis","","Artemisia","","laciniatiformis","","","","","","","","","","","Kom.","","","",""
"ARMA20","","Artemisia macrobotrys","","Artemisia","","macrobotrys","","","","","","","","","","","Ledeb.","","","",""
"ARSE5","","Artemisia senjavinensis","","Artemisia","","senjavinensis","","","","","","","","","","","Besser","","","",""
"ARST6","","Artemisia stelleriana","","Artemisia","","stelleriana","","","","","","","","","","","Besser","","","",""
"ARTI","","Artemisia tilesii","","Artemisia","","tilesii","","","","","","","","","","","Ledeb.","","","",""
"ARTIE","","Artemisia tilesii ssp. elatior","","Artemisia","","tilesii","ssp.","","elatior","","","","","","","","Ledeb.","(Torr. & A. Gray) Hultén","","",""
"ARTIE","AREL7","Artemisia elatior","","Artemisia","","elatior","","","","","","","","","","","(Torr. & A. Gray) Rydb.","","","",""
"ARTIE","ARTIE2","Artemisia tilesii var. elatior","","Artemisia","","tilesii","","","","var.","","elatior","","","","","Ledeb.","Torr. & A. Gray","","",""
"ARTIG","","Artemisia tilesii ssp. gormanii","","Artemisia","","tilesii","ssp.","","gormanii","","","","","","","","Ledeb.","(Rydb.) Hultén","","",""
"ARTIG","ARGO","Artemisia gormanii","","Artemisia","","gormanii","","","","","","","","","","","Rydb.","","","",""
"ARTIT","","Artemisia tilesii ssp. tilesii","","Artemisia","","tilesii","ssp.","","tilesii","","","","","","","","Ledeb.","Ledeb.","","",""
"ARTIU2","","Artemisia tilesii ssp. unalaschcensis","","Artemisia","","tilesii","ssp.","","unalaschcensis","","","","","","","","Ledeb.","(Besser) Hultén","","",""
"ARTIU2","ARHO11","Artemisia hookeriana","","Artemisia","","hookeriana","","","","","","","","","","","Besser","","","",""
"ARTIU2","ARTI4","Artemisia tilesii","","Artemisia","","tilesii","","","","","","","","","","","auct. non Ledeb.","","","",""
"ARTIU2","ARTIU","Artemisia tilesii var. unalaschcensis","","Artemisia","","tilesii","","","","var.","","unalaschcensis","","","","","Ledeb.","Besser","","",""
"ARVU","","Artemisia vulgaris","","Artemisia","","vulgaris","","","","","","","","","","","L.","","","",""
"ARVU","ARSE18","Artemisia selengensis","","Artemisia","","selengensis","","","","","","","","","","","Turcz. ex Besser","","","",""
"ARVU","ARTIA","Artemisia tilesii var. aleutica","","Artemisia","","tilesii","","","","var.","","aleutica","","","","","Ledeb.","(Hultén) S.L. Welsh","","",""
"ARVU","ARUN2","Artemisia unalaskensis","","Artemisia","","unalaskensis","","","","","","","","","","","Rydb.","","","",""
"ARVU","ARUNA","Artemisia unalaskensis var. aleutica","","Artemisia","","unalaskensis","","","","var.","","aleutica","","","","","Rydb.","Hultén","","",""
"ARVU","ARVUC2","Artemisia vulgaris var. coarctata","","Artemisia","","vulgaris","","","","var.","","coarctata","","","","","L.","Forselles ex Besser","","",""
"ARVU","ARVUG","Artemisia vulgaris var. glabra","","Artemisia","","vulgaris","","","","var.","","glabra","","","","","L.","Ledeb.","","",""
"ARVU","ARVUK","Artemisia vulgaris var. kamtschatica","","Artemisia","","vulgaris","","","","var.","","kamtschatica","","","","","L.","Besser","","",""
"ARVU","ARVUL","Artemisia vulgaris var. latiloba","","Artemisia","","vulgaris","","","","var.","","latiloba","","","","","L.","Ledeb.","","",""
"ARVU","ARVUS","Artemisia vulgaris var. selengensis","","Artemisia","","vulgaris","","","","var.","","selengensis","","","","","L.","(Turcz. ex Besser) Maxim.","","",""
"ARVU","ARVUV","Artemisia vulgaris var. vulgaris","","Artemisia","","vulgaris","","","","var.","","vulgaris","","","","","L.","L.","","",""
"ARUNC","","Aruncus","","Aruncus","","","","","","","","","","","","","","","","",""
"ARDI8","","Aruncus dioicus","","Aruncus","","dioicus","","","","","","","","","","","(Walter) Fernald","","","",""
"ARDIA","","Aruncus dioicus var. acuminatus","","Aruncus","","dioicus","","","","var.","","acuminatus","","","","","(Walter) Fernald","(Rydb.) Rydb. ex H. Hara","","",""
"ARDIA","ARAC5","Aruncus acuminatus","","Aruncus","","acuminatus","","","","","","","","","","","(Rydb.) Rydb.","","","",""
"ARDIA","ARSYA","Aruncus sylvester ssp. acuminatus","","Aruncus","","sylvester","ssp.","","acuminatus","","","","","","","","Kostel. ex Maxim.","(Rydb.) Jeps.","","",""
"ARDIV","","Aruncus dioicus var. vulgaris","","Aruncus","","dioicus","","","","var.","","vulgaris","","","","","(Walter) Fernald","(Maxim.) H. Hara","","",""
"ARDIV","ARAR14","Aruncus aruncus","","Aruncus","","aruncus","","","","","","","","","","","(L.) Karst., nom. inval.","","","",""
"ARDIV","ARSY2","Aruncus sylvester","","Aruncus","","sylvester","","","","","","","","","","","Kostel. ex Maxim.","","","",""
"ARDIV","ARVU4","Aruncus vulgaris","","Aruncus","","vulgaris","","","","","","","","","","","(Maxim.) Raf. ex H. Hara","","","",""
"ARDIV","SPAR4","Spiraea aruncus","","Spiraea","","aruncus","","","","","","","","","","","L.","","","",""
"ASPER","","Asperugo","","Asperugo","","","","","","","","","","","","","","","","",""
"ASPR","","Asperugo procumbens","","Asperugo","","procumbens","","","","","","","","","","","L.","","","",""
"ASPIC2","","Aspicilia","","Aspicilia","","","","","","","","","","","","","","","","",""
"ASPLE","","Asplenium","","Asplenium","","","","","","","","","","","","","","","","",""
"ASTR2","","Asplenium trichomanes","","Asplenium","","trichomanes","","","","","","","","","","","L.","","","",""
"ASTRT","","Asplenium trichomanes ssp. trichomanes","","Asplenium","","trichomanes","ssp.","","trichomanes","","","","","","","","L.","L.","","",""
"ASTR10","","Asplenium trichomanes-ramosum","","Asplenium","","trichomanes-ramosum","","","","","","","","","","","L.","","","",""
"ASTR10","ASVI10","Asplenium viride","","Asplenium","","viride","","","","","","","","","","","Huds.","","","",""
"ASTER","","Aster","","Aster","","","","","","","","","","","","","","","","",""
"ASAL3","","Aster alpinus","","Aster","","alpinus","","","","","","","","","","","L.","","","",""
"ASALV","","Aster alpinus var. vierhapperi","","Aster","","alpinus","","","","var.","","vierhapperi","","","","","L.","(Onno) Cronquist","","",""
"ASALV","ASALV2","Aster alpinus ssp. vierhapperi","","Aster","","alpinus","ssp.","","vierhapperi","","","","","","","","L.","Onno","","",""
"ASALV","DIAL12","Diplactis alpina","","Diplactis","","alpina","","","","","","","","","","","(L.) Semple p.p.","","","",""
"ASALV","DIALV","Diplactis alpina ssp. vierhapperi","","Diplactis","","alpina","ssp.","","vierhapperi","","","","","","","","(L.) Semple","(Onno) Semple","","",""
"ASTRA","","Astragalus","","Astragalus","","","","","","","","","","","","","","","","",""
"ASAL7","","Astragalus alpinus","","Astragalus","","alpinus","","","","","","","","","","","L.","","","",""
"ASALA4","","Astragalus alpinus var. alpinus","","Astragalus","","alpinus","","","","var.","","alpinus","","","","","L.","L.","","",""
"ASALA4","ASALA5","Astragalus alpinus ssp. alaskanus","","Astragalus","","alpinus","ssp.","","alaskanus","","","","","","","","L.","Hultén","","",""
"ASALA4","ASALA9","Astragalus alpinus ssp. arcticus","","Astragalus","","alpinus","ssp.","","arcticus","","","","","","","","L.","Hultén","","",""
"ASALA4","ASAS7","Astragalus astragalinus","","Astragalus","","astragalinus","","","","","","","","","","","(Hook.) Á. Löve & D. Löve","","","",""
"ASALA4","ATAL2","Atelophragma alpinum","","Atelophragma","","alpinum","","","","","","","","","","","(L.) Rydb.","","","",""
"ASAM3","","Astragalus americanus","","Astragalus","","americanus","","","","","","","","","","","(Hook.) M.E. Jones","","","",""
"ASAM3","ASFRA","Astragalus frigidus var. americanus","","Astragalus","","frigidus","","","","var.","","americanus","","","","","(L.) A. Gray","(Hook.) S. Watson","","",""
"ASAM3","ASFRG","Astragalus frigidus var. gaspensis","","Astragalus","","frigidus","","","","var.","","gaspensis","","","","","(L.) A. Gray","(J. Rousseau) Fernald","","",""
"ASAM3","PHAM10","Phaca americana","","Phaca","","americana","","","","","","","","","","","(Hook.) Rydb. ex Small","","","",""
"ASAU4","","Astragalus australis","","Astragalus","","australis","","","","","","","","","","","(L.) Lam.","","","",""
"ASAU4","ASAB","Astragalus aboriginorum","","Astragalus","","aboriginorum","","","","","","","","","","","Richardson","","","",""
"ASAU4","ASABF","Astragalus aboriginorum var. fastigiorum","","Astragalus","","aboriginorum","","","","var.","","fastigiorum","","","","","Richardson","M.E. Jones","","",""
"ASAU4","ASABG","Astragalus aboriginorum var. glabriusculus","","Astragalus","","aboriginorum","","","","var.","","glabriusculus","","","","","Richardson","(Hook.) Rydb.","","",""
"ASAU4","ASABL","Astragalus aboriginorum var. lepagei","","Astragalus","","aboriginorum","","","","var.","","lepagei","","","","","Richardson","(Hultén) B. Boivin","","",""
"ASAU4","ASABR","Astragalus aboriginorum var. richardsonii","","Astragalus","","aboriginorum","","","","var.","","richardsonii","","","","","Richardson","(Sheldon) B. Boivin","","",""
"ASAU4","ASAUA2","Astragalus australis var. aboriginorum","","Astragalus","","australis","","","","var.","","aboriginorum","","","","","(L.) Lam.","(Richardson) S.L. Welsh","","",""
"ASAU4","ASAUG","Astragalus australis var. glabriusculus","","Astragalus","","australis","","","","var.","","glabriusculus","","","","","(L.) Lam.","(Hook.) Isely","","",""
"ASAU4","ASAUL","Astragalus australis var. lepagei","","Astragalus","","australis","","","","var.","","lepagei","","","","","(L.) Lam.","(Hultén) S.L. Welsh","","",""
"ASAU4","ASAUM","Astragalus australis var. major","","Astragalus","","australis","","","","var.","","major","","","","","(L.) Lam.","(A. Gray) Isely","","",""
"ASAU4","ASAUM2","Astragalus australis var. muriei","","Astragalus","","australis","","","","var.","","muriei","","","","","(L.) Lam.","(Rydb.) S.L. Welsh","","",""
"ASAU4","ASFO5","Astragalus forwoodii","","Astragalus","","forwoodii","","","","","","","","","","","S. Watson","","","",""
